date,open,high,low,close,volume
2024-01-02,99.65,101.07,98.53,100.89,1011316
2024-01-03,100.97,101.18,99.33,100.11,1126300
2024-01-04,99.75,102.77,98.02,101.35,1137369
2024-01-05,101.84,102.1,100.75,100.91,1026629
2024-01-08,101.12,102.04,100.28,101.93,1159798
2024-01-09,101.67,102.82,100.46,101.84,1006894
2024-01-10,101.47,102.14,101.04,101.55,1196358
2024-01-11,101.33,102.93,101.12,101.87,1248517
2024-01-12,102.31,103.24,101.25,102.47,1066230
2024-01-15,101.99,102.71,100.9,102.34,1263686
2024-01-16,102.08,103.08,101.4,101.85,1247553
2024-01-17,102.25,103.63,101.44,103.45,1210709
2024-01-18,103.78,105.4,103.42,103.57,1171502
2024-01-19,103.3,105.89,102.39,104.08,1085036
2024-01-22,104.1,106.94,103.21,105.49,1063706
2024-01-23,105.06,105.6,104.41,105.01,1183195
2024-01-24,105.02,108.02,103.36,106.5,1250876
2024-01-25,106.02,108.6,104.59,107.88,1215429
2024-01-26,108.38,108.92,107.19,108.7,1336896
2024-01-29,108.2,110.06,106.51,109.21,1110733
2024-01-30,109.69,111.51,106.98,108.27,1150601
2024-01-31,108.37,109.51,106.73,108.43,1072359
2024-02-01,108.45,109.92,106.59,108.51,1140690
2024-02-02,108.31,109.99,105.55,107.18,1140647
2024-02-05,107.16,107.89,105.27,107.06,1140173
2024-02-06,107.24,107.98,106.59,106.96,1037942
2024-02-07,107.04,108.37,106.14,106.26,1123158
2024-02-08,105.81,107.67,105.34,106.44,1186565
2024-02-09,106.11,108.03,105.81,106.48,1002437
2024-02-12,106.5,107.85,104.67,105.82,940756
2024-02-13,105.91,106.62,105.49,105.82,1024291
2024-02-14,106.25,108.12,103.85,104.29,883000
2024-02-15,104.23,106.01,102.94,103.71,963821
2024-02-16,104.09,104.42,101.36,102.81,1075885
2024-02-19,102.71,104.27,101.03,102.65,892337
2024-02-20,102.21,102.79,100.53,101.34,832424
2024-02-21,101.67,102.44,99.5,101.13,770970
2024-02-22,101.34,102.2,98.77,100.33,730316
2024-02-23,100.81,102.79,99.19,101.35,877559
2024-02-26,101.43,101.63,99.97,100.34,685877
2024-02-27,100.33,102.45,99.12,101.5,901778
2024-02-28,101.61,102.26,100.05,100.47,756391
2024-02-29,100.65,102.01,99.24,100.79,693628
2024-03-01,100.68,100.85,100.03,100.29,731542
2024-03-04,99.84,102.25,98.44,101.61,689309
2024-03-05,101.65,103.19,100.2,101.8,758675
2024-03-06,101.39,103.29,99.94,102.11,796987
2024-03-07,101.61,103.8,100.34,102.29,758708
2024-03-08,101.96,103.74,101.43,101.65,690829
2024-03-11,101.4,102.73,99.97,102.56,823620
2024-03-12,102.85,105.64,102.53,104.04,715150
2024-03-13,104.33,105.29,103.42,104.08,738709
2024-03-14,103.92,105.76,103.18,103.49,795502
2024-03-15,103.3,103.84,103.14,103.4,902479
2024-03-18,102.92,104.25,101.64,103.49,1026422
2024-03-19,103.97,106.32,103.44,104.61,996753
2024-03-20,105.08,107.48,104.93,105.75,965476
2024-03-21,106.17,107.02,105.0,105.17,1026160
2024-03-22,104.79,105.52,103.04,104.87,1030169
2024-03-25,104.46,106.4,103.43,105.0,1147969
2024-03-26,104.77,105.85,103.52,105.69,1185322
2024-03-27,106.11,107.27,103.23,104.98,973875
2024-03-28,104.82,106.71,103.6,105.73,1005628
2024-03-29,105.57,106.67,103.9,104.79,1124486
2024-04-01,104.34,105.41,102.77,103.88,1217675
2024-04-02,104.15,105.42,101.68,102.64,1241240
2024-04-03,102.51,103.95,101.04,102.21,1047556
2024-04-04,102.28,103.9,101.52,102.96,1135207
2024-04-05,103.29,103.7,100.98,102.79,1090972
2024-04-08,102.83,103.85,101.39,101.7,1172267
2024-04-09,101.24,101.7,99.3,101.0,1292859
2024-04-10,100.85,101.57,100.27,100.43,1103953
2024-04-11,99.97,101.09,98.62,99.23,1289404
2024-04-12,98.8,99.87,97.87,99.1,1197553
2024-04-15,99.0,100.24,98.75,99.92,1290573
2024-04-16,99.85,100.98,99.68,100.57,1123487
2024-04-17,100.08,101.69,99.26,100.85,1298174
2024-04-18,100.86,102.05,98.83,100.05,1288761
2024-04-19,99.83,100.24,97.56,99.01,1313836
